num_trajectories,trajectory_length,N,obs_noise_std,seed,max_epochs,delta_sup,delta_mean,delta_median,safety_rate,exit_rate,goal_rate,limsup_V,B,lambda1,bad_set_fraction,C_eps_term,predicted_limsup
2,100,200,0.0,1,30,1951.6796875,325.9671936035156,171.66009521484375,0.0,1.0,0.58,0.047734011326982406,0.2328740358352661,0.001,0.03222222253680229,0.35901098889478184,454495.8844968249
2,100,200,0.0,2,30,11060.2509765625,1671.8377685546875,878.0730590820312,0.0,1.0,0.23,0.025538851417789204,0.08276268094778061,0.001,0.07527777552604675,0.5487359128981691,915376.5715115339
5,100,500,0.0,0,30,1.62115478515625,0.26769837737083435,0.13653564453125,0.0,1.0,0.02,0.003499739186758402,0.1542084515094757,0.0010731041536605423,0.41749998927116394,1.2922847817275633,234.25734061842678
5,100,500,0.0,1,30,65.033203125,10.353965759277344,5.10919189453125,0.0,1.0,0.0,0.040756572267943214,0.1321898102760315,0.001,0.035277776420116425,0.3756475817577769,8597.102430318126
5,100,500,0.0,2,30,0.0623779296875,0.00728103332221508,0.00250244140625,0.0,1.0,0.0,0.026386829664616553,0.16582494974136353,0.001,0.03999999910593033,0.3999999955296516,10.743817050929646
5,100,500,0.05,0,30,969.7083740234375,248.20310974121094,214.78724670410156,0.0,1.0,0.02,0.020186994860855918,0.0865773931145668,0.001,0.39250001311302185,1.2529964295448281,83956.07610074406
5,100,500,0.1,1,30,561.5104370117188,185.12680053710938,158.78009033203125,0.0,1.0,0.0,0.0751776667215745,0.05808505415916443,0.001,0.19027778506278992,0.8724168385875869,32616.23656160036
10,100,1000,0.0,0,30,0.20147705078125,0.022402899339795113,0.00927734375,0.0,1.0,0.0,0.014669048438581207,0.10209766775369644,0.001,0.03888889029622078,0.3944053260097829,20.96474231666847
10,100,1000,0.0,1,30,67.72607421875,11.0762300491333,5.486236572265625,0.0,1.0,0.01,0.17626817826840005,0.16495373845100403,0.001,0.05027777701616287,0.4484541315058336,11172.11758712448
10,100,1000,0.0,2,30,0.060546875,0.007777293678373098,0.0037994384765625,0.0,1.0,0.0,0.02915352347032748,0.11021991819143295,0.001,0.16527777910232544,0.8130873977681008,7.486559007015018
10,100,1000,0.05,0,30,385.95135498046875,95.84166717529297,71.69061279296875,0.0,1.0,0.08,0.00944226174132647,0.022000053897500038,0.001,0.07972222566604614,0.5647024904001969,8491.515313873882
